entity,title,bid_number,trade,due_date,url,contact,notes
Mission CISD,"CSP Construction Services - Job Order Contracts (JOC), multiple award, RS Means coefficient pricing",520-26-0 (ref),JOC / general-construction (all trades),,https://mcisd.bonfirehub.com/portal,Purchasing 956-323-5524 (Dora Garcia),JOC CSP issued ~Jul 2025 with 1-yr term + renewal option - original window likely closed but JOC typically rebids annually; check Bonfire portal for the current cycle.
Region One ESC (ROPC),"Trades Services RFP - mechanical, HVAC, electrical, lighting, instrumentation, telecom/IT inside (cabling), plumbing, painting, fencing (cooperative multi-award)",,electrical / low-voltage cabling / multi-trade,,https://www.esc1.net/services/operations/purchasing/vendor-opportunities,"eBuyOne@esc1.net (Lori Atwood Ramos, Purchasing Director)","ROPC periodically solicits/renews multi-trade awards usable by member districts region-wide; register in eBuyOne with trade commodity codes to catch the next window. Also noted: RFP FY26-0176 issued May 13, 2026 (category unconfirmed)."
"US Section, International Boundary and Water Commission (USIBWC)",Lower Rio Grande Flood Control System levee rehabilitation - future phased segments (Peñitas-Brownsville corridor incl. North Floodway near Mercedes),Watch SAM.gov for 191BWC-series solicitations,"STRUCTURAL (earthwork, concrete floodwalls, fencing)",No open solicitation verified as of 2026-07-15; funded annually - monitor,https://sam.gov/search/?index=opp&q=191BWC&sfm%5Bstatus%5D%5Bis_active%5D%5Bis_active%5D=true,"USIBWC Acquisition Division, El Paso; Mercedes Field Office for local O&M","Prior comparable package (Edinburg Pump Station, 191BWC21R0004, $1-5M design-build) completed 2023. IBWC states remaining deficient Lower Rio Grande segments are being rehabbed via phased annual appropriations - new solicitations recur."
GSA Region 7 / Brasfield & Gorrie LLC (design-build prime),"Brownsville-Gateway Land Port of Entry Modernization - subcontract trade packages (roofing, electrical, structural steel, drywall, insulation, low-voltage/security)","GSA design-build awarded 12/19/2024, $263,906,507; sub packages via Brasfield & Gorrie preconstruction",ALL SIX TRADES,"Rolling - construction start summer 2026, completion late 2029; prequalify immediately",https://equip.brasfieldgorrie.com/project-opportunities/,Brasfield & Gorrie EQUIP small-business/prequal portal; project page https://www.brasfieldgorrie.com/projects/brownsville-gateway-land-port-of-entry-modernization/,"VERIFIED ACTIVE: groundbreaking May 2026 ($300M program). New 48,000 sf admin building, canopies, 10 primary lanes, 24 secondary inspection spaces in downtown Brownsville. Federal work - Davis-Bacon wages; buyout running now through 2027."
Hidalgo County Drainage District No. 1,"Phase I Flood Control Project Segment 21 - Phase No. 1 (Ditch 7 excavation, box culverts, new outfall and pump station at IBWC levee)",RFB HCDD1-25-029-05-14-ESZ,STRUCTURAL (concrete/structural packages),Unverified - RFB number suggests a May bid date; confirm current phase status on OpenGov portal,https://procurement.opengov.com/portal/co-hidalgo-tx/projects/164589,"HCDD1, 902 N. Doolittle Rd, Edinburg, TX 78542, (956) 292-7080","$4.25M-$4.75M estimate, 300-day schedule. Even if this phase closed, the TWDB-funded program is multi-phase - register on the portal for the next segments."
Brownsville Public Utilities Board,HVAC Chiller Replacements (electrical/mechanical scope),B003-26,ELECTRICAL (support scope),Unverified - listed as open FY26 RFP,https://www.govcb.com/statebrowse/state.bid-Texas-Brownsville%20Public%20Utilities%20Board.htm,Brownsville PUB Purchasing,Electrical subcontract potential on chiller replacement; verify status on PUB bids page.
Brownsville Public Utilities Board,Public Administration Building Roof Replacement,B005-26,ROOFING,Unverified - listed as open FY26 RFP; confirm on PUB site,https://www.govcb.com/statebrowse/state.bid-Texas-Brownsville%20Public%20Utilities%20Board.htm,"Brownsville PUB Purchasing, 1425 Robinhood Dr, Brownsville, TX",Found via GovCB index of PUB open RFPs (alongside B006-26 Floor Replacement and B003-26 HVAC Chiller Replacements). Direct site access was blocked from this environment - verify due date before pursuing.
VA Texas Valley Coastal Bend Health Care System (VA NCO 17),Recurring construction/maintenance solicitations at Harlingen HCC and McAllen/Harlingen/Weslaco clinics - none verified open on 2026-07-15,Watch 36C257-series on SAM.gov,ROOFING / ELECTRICAL / DRYWALL / LOW-VOLTAGE,n/a - set saved search + alerts,https://sam.gov/search/?index=opp&q=36C257&sfm%5Bstatus%5D%5Bis_active%5D%5Bis_active%5D=true,"VA Texas Valley Coastal Bend HCS, 2601 Veterans Dr, Harlingen, TX 78550; NCO 17 (VISN 17 Regional Procurement Office-West)","SAM.gov blocked automated verification, so live notices could not be enumerated. VA construction here is typically SDVOSB set-aside - also court SDVOSB primes who win these; sources-sought notices telegraph upcoming solicitations."
City of Brownsville,"Excavation, Loading, and Hauling Services (term contract supporting construction projects)",see BidNet listing,general construction / sitework,unknown - appears in BidNet open-bids listing,https://www.bidnetdirect.com/texas/solicitations/open-bids/statewide/Excavation-Loading-and-Hauling-Services/443836641806,"purchasing@brownsvilletx.gov, (956) 548-6092",Confirm status in Bonfire portal (brownsvilletx.bonfirehub.com).
City of Harlingen,Harlingen Mobility Master Plan,RFQ No. 2026-10,general (professional services/planning),unknown - currently featured on city bid opportunities page,https://harlingentx.gov/departments/finance/bid_opportunities.php,"purchasing@harlingentx.gov, (956) 216-5316","Not a trade bid, but signals upcoming corridor construction packages. Smart Corridors Project Bid 2026-05 closed 5/27/2026."
Brownsville Public Utilities Board,Supply of Polemount & Padmount Transformers,B023-26,electrical (materials supply),unknown - listed OPEN as of 7/15/2026,https://www.brownsville-pub.com/rfp_status/open/,BPUB Purchasing (956) 983-6364,"Supply contract, not installation."
Brownsville Public Utilities Board,Open solicitation (title not indexed),B021-26,unknown - verify,unknown - listed OPEN as of 7/15/2026,https://www.brownsville-pub.com/rfp_status/open/,BPUB Purchasing (956) 983-6364,Site blocked automated fetch; call or check BidNet Texas Purchasing Group for title/due date.
Starr County,Roma-Miguel Aleman Suspension Bridge RFP,see county Job Bids page,structural (bridge restoration),unknown - listed on county bid notice page,https://www.co.starr.tx.us/page/starr.BidNotice,"Reyna Guerra, rguerra@co.starr.tx.us, (956) 716-4800",Historic suspension bridge project; structural steel/concrete scope.
Harlingen WaterWorks System,Professional Engineering Services for HWWS Facility Generators,BidNet solicitation 0000400670,electrical (generators - A/E phase),unknown - recent posting,https://www.bidnetdirect.com/texas/harlingenwaterworkssystem/solicitations/PROFESSIONAL-ENGINEERING-SERVICES-FOR-HWWS-FACILITY-GENERATORS/0000400670,HWWS Purchasing (956) 430-6100,Design phase now - electrical construction package likely to follow; get on vendor list.
Harlingen WaterWorks System,Warehouse Yard Site Improvements,BidNet solicitation 0000393763,structural / concrete / sitework,unknown - registration required on BidNet,https://www.bidnetdirect.com/texas/harlingenwaterworkssystem/solicitations/Warehouse-Yard-Site-Improvements/0000393763,HWWS Purchasing (956) 430-6100,Open status not confirmed; verify on BidNet (free registration).
City of Rio Grande City,Wastewater Treatment Plant Expansion Project (TWDB Project No. 73874),TWDB 73874,general construction / structural concrete / electrical,unknown - verify with City Secretary,https://www.cityofrgc.com/business/bid_opportunities.php,"City Secretary's Office, 5332 E. US Hwy 83, (956) 487-0672",Large civil project with electrical and structural sub-scopes; prime bid status unconfirmed.
Cameron County,Cameron County Courthouse (Dancy Building) Architectural Condition Assessment / Phase II,RFQ #260102,general (A/E - precursor to renovation packages incl. roofing/structural),unknown - verify with purchasing,https://www.cameroncountytx.gov/purchasing-bids-rfpq-addms-tabs/,"purchasing@cameroncounty.com, (956) 544-0871",Assessment phase signals upcoming courthouse renovation bids (prior BID #251001 was Dancy HVAC upgrades). County posts new bids as PDFs on this page; monitor manually or via BidNet.
City of Alamo,Underground Utility Construction Services (Request for Qualifications),RFQ No. 2026-04-27,general construction / structural (underground utility),unverified — number suggests 2026-04-27 (likely closed),https://alamotexas.org/wp-content/uploads/2026/04/UNDERGROUND-UTILITY-CONSTRUCTION-SERVICES.pdf,"Adela Perez, aperez@alamotexas.org, (956) 787-0006 x1131","UNCERTAIN — newest construction solicitation found for Alamo (posted 4/2026), probably closed by 7/15/2026. IMPORTANT CAVEAT for all entities: direct fetches of city sites and bid portals were blocked from this research environment (HTTP 403), so no solicitation could be live-verified as open on 2026-07-15; findings are from search-index data. Priority manual checks: mcallen.procureware.com/Bids, pharr.procureware.com/Bids, cityofmission.procureware.com/Bids, procurement.opengov.com/portal/cityofedinburg, procurement.opengov.com/portal/co-hidalgo-tx, bidnetdirect.com/texas/cityofweslaco, cityofmercedes.com bids page (frequent roofing work), and cityofprogreso.com/858-2/."
