name,type,county,purchasing_url,platform,contact_name,contact_email,contact_phone,notes
City of Rio Grande City,city,Starr,https://www.cityofrgc.com/business/bid_opportunities.php,Own website; specs via City Secretary's Office,City Secretary's Office,,(956) 487-0672,"5332 E. US Hwy 83, Rio Grande City TX 78582. Has posted design-build City Hall capital improvements RFQ/RFP and WWTP expansion (TWDB 73874)."
City of Roma,city,Starr,https://texasbids.net/government-agencies/starr/roma-city-of-5356/,Newspaper legal notices; aggregators (texasbids.net),City Hall,,(956) 849-1411,"No dedicated bid page found - call City Hall, 77 Convent Ave."
City of La Grulla,city,Starr,https://cityoflagrulla.com/,None found (Facebook/legal notices),City Hall,,(956) 487-3341,"PO Box 197, La Grulla TX 78548. No online bid postings found."
City of Escobares,city,Starr,https://www.cityofescobares.org/,None found (legal notices),City Hall,,(956) 847-1200,No online bid postings found.
Cameron County,county,Cameron,https://www.cameroncountytx.gov/purchasing-bids-rfpq-addms-tabs/,Own website (PDF notices) + BidNet Direct (https://www.bidnetdirect.com/texas/cameron-county),Mike Forbes / Beverly Findley (Purchasing),mforbes@co.cameron.tx.us; purchasing@cameroncounty.com,(956) 544-0871,"Bids opened at Courthouse (Dancy Bldg), 1100 E. Monroe St, Ste 345, Brownsville, 11:01 a.m. on deadline dates. Regularly bids roofing/HVAC/renovation/electrical building supplies (BID #2000-2GEN electrical supplies; BID #251001 Dancy HVAC upgrades; RFQ #260102 Dancy architectural condition assessment). Site 403-blocks automated fetch - check page weekly."
Willacy County,county,Willacy,https://www.co.willacy.tx.us/page/willacy.Public.Notices,"Own website (public notices, PDF)",County Auditor's Office,,(956) 689-3393,"Courthouse: 576 W. Main Ave, Raymondville. Posts RFPs/IFBs as PDFs (recent: sheriff fleet upfitting, ARPA technology). Floodplain activity notice posted 6/17/2026 suggests upcoming CDBG-DR construction work."
Starr County,county,Starr,https://www.co.starr.tx.us/page/starr.BidNotice,Own website (Job Bids page),Reyna Guerra,rguerra@co.starr.tx.us,(956) 716-4800,"Courthouse: 401 N. Britton Ave, Rio Grande City TX 78582. Active RFP: Roma-Miguel Aleman Suspension Bridge (structural/restoration)."
Port of Brownsville (Brownsville Navigation District),port,Cameron,https://www.portofbrownsville.com/business-with-the-port/procurements/,BidNet Direct / Texas Purchasing Group (https://www.bidnetdirect.com/texas/portofbrownsville) + own site /procurement_category/rfp/ and /bids/,Purchasing Dept,purchasing@portofbrownsville.com,(956) 831-4592,"Frequent heavy-civil/structural work (e.g., Cargo Dock No. 3 Phase II pile procurement). Register free on BidNet (Limited Access option). Jan 2026 Fishing Harbor Security RFP closed 1/19/2026."
Port of Harlingen Authority,port,Cameron,https://portofharlingen.com/contracting-opportunties/,Own website (contracting opportunities page),Port Director's office,,(956) 423-0283,Page updated infrequently; no open opportunities confirmed as of 7/15/2026. Call to get on vendor list.
Brownsville Public Utilities Board (BPUB),utility,Cameron,https://www.brownsville-pub.com/rfp_status/open/,Own website + BidNet Direct/Texas Purchasing Group (https://www.bidnetdirect.com/texas/brownsville-pub),Diane Solitaire (Materials Warehouse Manager) - Purchasing Dept,,(956) 983-6364,"Purchasing at 1155 N. FM 511, Olmito TX 78575. Regularly bids electrical materials/construction for electric, water, wastewater systems. Open as of search: B021-26, B022-26, B023-26 (polemount/padmount transformers), Q015-26, P019-26, P008-26."
Harlingen WaterWorks System,utility,Cameron,https://www.hwws.com/bids-and-contracts/,BidNet Direct / Texas Purchasing Group (https://www.bidnetdirect.com/texas/harlingenwaterworkssystem),Purchasing Dept,,(956) 430-6100,"134 E. Van Buren Ave, Harlingen. Recent/likely-open: Warehouse Yard Site Improvements (sitework/structural), Professional Engineering Services for HWWS Facility Generators. Register on BidNet for details."
Valley International Airport (Harlingen),airport,Cameron,https://texasbids.net/government-agencies/cameron/valley-international-airport-196659/,Own site (flythevalley.com) + newspaper notices; some bids via City of Harlingen,Airport Administration,,(956) 430-8600,"Operated by Harlingen airport board; no direct bid-listing page found. AIP-funded construction (roofing, electrical, terminal work) periodically advertised - call admin office and watch texasbids.net."
Brownsville South Padre Island International Airport (BRO),airport,Cameron,https://brownsvilletx.bonfirehub.com/portal/?tab=openOpportunities,City of Brownsville Bonfire portal,Damian Espinoza (Procurement Director); Jaydy Valdez (Buyer),purchasing@brownsvilletx.gov,(956) 548-6092,City-owned; solicitations (numbered ###-26-AIR-*) run through City of Brownsville procurement. Recent: 025-26-AIR-RFP common use passenger processing (closed). Terminal concessions build-out RFPs recur.
Cameron County Housing Authority,housing,Cameron,http://cchatx.org,Own website / newspaper legal notices,Administration,,(956) 399-7501,"County residents largely served via San Benito Housing Authority (sanbenitohousing.com), ~580 units. HUD Capital Fund work (roofing, drywall, electrical unit turns) advertised in local papers; call for vendor list."
Harlingen Housing Authority,housing,Cameron,https://harlingenha.org,Own website (PDF bid packets) + Valley Morning Star legal notices,Cynthia Lucio (procurement contact),,(956) 428-1471,"Properties: Los Vecinos (150 units), Bonita Park (120 units), etc. Issues ITBs for services/maintenance. No open construction bids found as of 7/15/2026; HUD-funded modernization work recurs."
Brownsville Housing Authority (HACB),housing,Cameron,https://www.hacb.us/current-bids/,Own website + Brownsville Herald legal notices,HACB Procurement Department,,(956) 541-8315 ext. 1544,"2606 Boca Chica Blvd, Brownsville. Advertises IFBs/RFPs per TX Local Gov Code 252.041; frequent unit rehab (roofing, drywall, electrical). Site 403-blocks automated fetch - check current-bids page directly."
Willacy County Housing Authority,housing,Willacy,https://www.willacycountyha.com/doing-business,Own website (Current Bids page),Administration,,(956) 689-2733,"1.5 mi S of Expressway 77, Raymondville TX 78580. Bonus entity - maintains an active Doing Business/Current Bids page."
Brownsville ISD,school-district,Cameron,https://www.bisd.us/page/procurement,IonWave eBid (bisdbid.ionwave.net); also mirrored on DemandStar/BidNet Direct,"Delia N. Rodriguez, Purchasing Coordinator / Interim Purchasing Administrator",,(956) 548-8000,"Procurement Services, 1900 E. Price Rd, Brownsville TX 78521. See also bisd.us/page/doing-business-with-bisd. Recent district-wide E-Rate internet RFP appeared on BidNet Direct. Register on eBid portal for notifications. No trade-matching solicitation verified open as of 7/15/26."
Harlingen CISD,school-district,Cameron,https://www.hcisd.org/current-bid-opportunities,IonWave electronic bidding (register via hcisd.org/electronic-bidding),"Adriana Aguirre, Director of Purchasing (Senior Buyer: Sylvia DeLeon)",,(956) 430-9740,"407 N 77 Sunshine Strip, Harlingen TX 78550. All bids run through IonWave; Feb 2026 cycle bids (JNPR0226, MSNT0226, MORC0226) closed. Watch Current Bid Opportunities page for construction/E-Rate packages."
San Benito CISD,school-district,Cameron,https://www.sbcisd.net/departments/purchasing/bidsrfps,"District website (Bids/RFPs page, PDF documents; sealed hard-copy submission)","Eddie Cavazos, Purchasing Director",,(956) 361-6390,"Purchasing: 2001 UTEX Drive, San Benito TX 78586; sealed proposals received at office of Christopher Cortez, Interim CFO, 240 N Crockett St. Recent postings (RFP-1025-GMS general merchandise/services, RFP-0626-USD uniforms, RFP-0326-CBS charter buses) are non-trade. No open construction bids verified as of 7/15/26."
Los Fresnos CISD,school-district,Cameron,https://www.lfcisd.net/apps/pages/index.jsp?uREC_ID=1778787&type=d&pREC_ID=1956086,District website (Purchasing Office page),"Edward Lugo, Purchasing Agent",,(956) 254-5000 (main),Purchasing contact page: lfcisd.net/offices/p/purchasing/contact_us. No open trade-matching bids verified as of 7/15/26.
Point Isabel ISD,school-district,Cameron,https://www.pi-isd.net/page/request-for-proposals,"District website (RFP PDFs; hard-copy submission only, no email/fax)","Melissa Trevino, Purchasing",melissa.trevino@pi-isd.net,(956) 943-7473,"Deliver proposals to Purchasing Office, 101 Port Rd, Port Isabel TX 78578. Awarded bids page also on site. No open trade-matching RFPs verified as of 7/15/26."
La Feria ISD,school-district,Cameron,https://www.laferiaisd.org/resources/business_office/purchasing/current_bid_opportunities,District website (Business Office > Purchasing > Current Bid Opportunities),Business Office,,(956) 797-8310,"203 E. Oleander Ave / PO Box 1159, La Feria TX 78559. No open trade-matching bids verified as of 7/15/26."
Rio Hondo ISD,school-district,Cameron,https://www.rhisd.net,District website (bids posted under Business Office as PDFs),,,,Posts RFP documents via rhisd.net document hosting. Could not verify purchasing contact or open bids as of 7/15/26; call business office directly.
Santa Rosa ISD,school-district,Cameron,https://www.srtx.org/departments/business-office,District website (bids at srtx.org/departments/business-office/bids),Business Office,,(956) 636-9800,"PO Box 395, Santa Rosa TX 78593. Vendor forms on site. No open trade-matching bids verified as of 7/15/26."
Santa Maria ISD,school-district,Cameron,https://www.smisd.net/departments/business-finance/purchasing,District website (Business & Finance > Purchasing),,,,"Current postings were non-construction (RFP S-5 2025-2026 student athletic insurance, cafeteria plan admin). No trade-matching bids verified open as of 7/15/26."
Raymondville ISD,school-district,Willacy,https://www.raymondvilleisd.org/departments/purchasing-department/2025-2026-bid-requests,"District website (yearly Bid Requests pages, PDFs); hand delivery/courier recommended",RISD Purchasing Department,,,"419 FM 3168, Raymondville TX 78580. Runs annual approved-vendor-list RFPs (e.g., RFP25-006 HVAC Supplies/Equipment/Services) — requalify each year. Check for the 2026-2027 bid requests page opening this summer."
Lyford CISD,school-district,Willacy,https://www.lyfordcisd.net/Page/23,District website (Business Office > Bids/Proposals),Business Office,,,"Recent RFPs posted as PDFs (e.g., 1067CNPS CNS Point of Sale, June 2025). No open trade-matching bids verified as of 7/15/26."
San Perlita ISD,school-district,Willacy,https://www.spisd.org/,District website (occasional RFP/RFQ postings),,,,Very small district; has posted RFQ for Architectural Services and bank depository RFP — architect RFQ may signal future construction packages. RFPSchoolWatch showed 0 open opportunities as of research date.
Rio Grande City Grulla ISD,school-district,Starr,https://www.myrgcgisd.org/page/purchasing-department,District website; member of GoodBuy Purchasing Cooperative (ESC2),Purchasing Department,,(956) 716-6700,Purchasing documents at myrgcgisd.org/documents/departments/resources-for-purchasing. No open trade-matching bids verified as of 7/15/26.
Roma ISD,school-district,Starr,https://www.romaisd.com/departments/business-finance/financial-transparency,District website (Business & Finance),,,,"ACTIVE BOND PROGRAM: $41.9M bond approved May 2023 (3 propositions) — band hall, softball stadium, new gym at F.J. Scott Elementary, transportation dept relocation, district-wide facility upgrades. Construction packages flowing through 2025-2027; watch for CSP/CMAR trade packages and sub bid lists via the CM."
San Isidro ISD,school-district,Starr,https://sanisidroisd.socs.net/,District website,"Sara Alvarado, Superintendent",sara.alvarado@sanisidroisd.org,(956) 481-3110,Tiny district; superintendent's office handles procurement. No open bids found.
IDEA Public Schools,charter,"RGV-wide (HQ Weslaco, Hidalgo)",https://ideapublicschools.org/our-story/finance-budget/pcs/bids-rfps/,"Own Bids & RFPs page + Public Purchase (publicpurchase.com/gems/ideaps,tx) + Tyler Munis vendor self-service","Jose Perez, Director of Procurement & Contract Services",purchasing@ideapublicschools.org,,"Builds constantly across RGV (Harlingen, San Benito, Mission, Palmview, Weslaco). Contracts >$50k/yr competed; board awards monthly. Posts E-Rate RFPs (CAT1 #10-EC1-0126 and consortium #11-ECSM1-0126, Jan 2026 cycle now closed — expect CAT2 cycle in fall/winter). Has posted a Mid-Valley Building Envelope bid spec (roofing/envelope scope) — status unverified, check bids page. Website blocked automated fetch (403); check page manually weekly."
Vanguard Academy,charter,Hidalgo (Pharr/Edinburg),https://www.vanguardacademy.education/page/purchasing,Own website (RFP PDFs); mail-in submissions to central office,Central Administration Office,,(956) 781-1701,"Admin office: 2510 S. Veterans Blvd, Edinburg TX 78539. Recent RFPs were uniforms/vended meals; no construction/trade RFP verified open as of 7/15/26."
Harmony Public Schools (RGV campuses),charter,RGV-wide (HQ Houston),https://www.harmonytx.org/about/purchasing,Harmony e-bid system (vendor registration required via purchasing page); also on DemandStar,HPS Purchasing Department,,,Vendors must register on the e-bid site to be notified and to submit. Centralized RFPs incl. E-Rate for all campuses. No open trade-matching bid verified as of 7/15/26.
Jubilee Academies,charter,RGV campuses in Cameron (HQ San Antonio),https://www.jubileeacademies.org/purchasing,Own website (RFP/RFQ PDFs),,,,"Strong trade fit historically: RFP 24-004 HS TPO Roof Replacement, RFQ 25-003 Engineering Services, WiFi modernization, HVAC, security, internet/WAN (E-Rate). Monitor purchasing page; no currently open trade RFP verified as of 7/15/26."
Horizon Montessori Public Schools,charter,Hidalgo (McAllen area),,Own website (occasional RFP postings),,,,Could not verify a dedicated procurement page or open bids as of 7/15/26; contact central office directly.
South Texas Educational Technologies (Mid Valley Academy),charter,Hidalgo (Mercedes/Weslaco),,,,,,No distinct procurement web presence found; the Midvalley Academy Mercedes campus is now associated with the Triumph Public High Schools network. Very low procurement volume; contact administration directly.
Excellence in Leadership Academy,charter,Hidalgo (Mission),https://www.elacharterschool.com/our-district/bid-opportunities-rfps,Own website (Bid Opportunities & RFPs page),,,,Maintains dedicated bid page; no open trade-matching RFP verified as of 7/15/26.
One Stop Multiservice (charter),charter,Hidalgo (RGV),,,,,,No procurement page or open solicitations found; very small operator — contact administration directly.
Triumph Public High Schools (Brownsville),charter,Cameron (network HQ Laredo),https://www.triumphpublicschools.org,Network website (RFPs posted centrally from Laredo HQ),,,,Network operates Brownsville and Mercedes campuses; procurement at network level. No open trade-matching bids verified as of 7/15/26.
Texas Southmost College,college,Cameron,https://www.tsc.edu/institutional-divisions/finance-and-administration/purchasing/rfp-opportunities/,Bonfire (tsc.bonfirehub.com) — solicitations viewable without registration; register for master vendor list and notifications; also on DemandStar,TSC Purchasing (Finance and Administration),,(956) 295-3600 (main),"Active facilities program: RFP 26-04 Structured Data Cabling Project for Academic Buildings (low-voltage; contract term Feb 20-Aug 31, 2026 — proposal window closed, project underway) and RFP 26-05 Campus Tennis Courts Resurface recently advertised. TSC site and Bonfire blocked automated verification (403) — check tsc.bonfirehub.com for current open list."
TSTC Harlingen (Texas State Technical College system),college,Cameron,https://bids.sciquest.com/apps/Router/PublicEvent?CustomerOrg=TSTC,Jaggaer/SciQuest system-wide public bid board; also Texas ESBD under Agency 719,TSTC Procurement Services,procurementservices@tstc.edu (solicitation questions: solicitations@tstc.edu),,All campuses incl. Harlingen post on the system-wide SciQuest board. Register on CMBL for statewide visibility; TSTC prioritizes small/Texas-owned and VetHUB vendors. Check board for Harlingen construction/renovation packages; no trade-matching open bid verified as of 7/15/26.
City of McAllen,city,Hidalgo,https://www.mcallen.net/departments/purchasing/home,ProcureWare — https://mcallen.procureware.com/Bids (city now directs vendors here; legacy IonWave portal mcallen.ionwave.net referenced in older docs),"Gerardo Noriega, CPPB, Director of Purchasing & Contracting",,(956) 681-3111,"1300 Houston Ave, McAllen TX 78501. Staff directory: mcallen.net/departments/purchasing/staff-directory. Portal fetch blocked (403 proxy) so live open-bid list unverified 7/15/2026. Recent construction bids seen via aggregators: Solid Waste Recycling Center Electrical Upgrade #10-25-C06-701 (~$6M electrical, posted 10/2025) and Lateral Channel Drainage Improvements #09-25-C29-480 — both likely closed; check ProcureWare for rebids/phases."
City of Edinburg,city,Hidalgo,https://cityofedinburg.com/departments/finance/purchasing.php,OpenGov Procurement — https://procurement.opengov.com/portal/cityofedinburg,"Criselda Lozano, Purchasing Manager; Lorena Fuentes, Purchasing Agent",lfuentes@cityofedinburg.com,(956) 388-1895,"415 W. University Dr, Edinburg TX 78541. Open bid notices also at cityofedinburg.com/departments/finance/open_bid_notices.php. History of roofing (Municipal Auditorium Roof Repairs 11/2024) and design-build solicitations. Portal fetch blocked; verify live list on OpenGov."
City of Mission,city,Hidalgo,https://missiontexas.us/257/Bid-Opportunities,ProcureWare — https://cityofmission.procureware.com/Bids,Purchasing Department (director not published; staff directory missiontexas.us/directory.aspx?did=11),webpurchase@missiontexas.us,(956) 580-8667,"1201 E 8th St, Mission TX 78572. Vendor registration via ProcureWare required. Portal fetch blocked (403); no open construction bids verified 7/15/2026 — check portal directly."
City of Pharr,city,Hidalgo,https://pharr-tx.gov/government/departments/purchasing/bid-opportunities/,ProcureWare — https://pharr.procureware.com/Bids,Purchasing Department (see pharr-tx.gov/government/departments/purchasing/meet-our-staff/),bids@pharr-tx.gov,(956) 402-4231,Centralized purchasing; ProcureWare sends automated notices by commodity code after vendor registration. Active bid detail pages exist on pharr.procureware.com but titles/dates not indexed; portal fetch blocked — verify live list.
City of San Juan,city,Hidalgo,https://www.sjtx.us/purchasing/ (open bids: https://www.sjtx.us/category/open-bids/),None — posts bids directly on sjtx.us,"Lori A. Maldonado, Purchasing Agent",,,"512 S. Nebraska Ave, San Juan TX 78589. 2026 solicitations found all closed: RFB 26-004-05-07 Street Improvements Nebraska/Douglas (construction began 6/15/2026), CSP 26-005-05-13 Group Health. Prior: CSP 25-008-05-01 Police Building Expansion re-bid. No verified open construction bids 7/15/2026."
City of Alamo,city,Hidalgo,https://alamotexas.org/government/departments/purchasing/,Public Purchase — https://www.publicpurchase.com/gems/buyer/public/home?syndicatedOrgId=45067&region=TX (also posts bid docs on alamotexas.org),"Adela Perez, Purchasing Agent",aperez@alamotexas.org,(956) 787-0006 ext. 1131,"420 N. Tower Rd, Alamo TX 78516. Register with Purchasing to receive addenda. Recent: Water Treatment Plant Rehab/Coating Ph 1B (closed 11/20/2025); Fire Truck Building & City Hall Repairs (closed 1/8/2026); RFQ 2026-04-27 Underground Utility Construction Services (posted 4/2026, likely closed). Fetch blocked — verify live list."
City of Weslaco,city,Hidalgo,https://www.weslacotx.gov/business/procurement/index.php,BidNet Direct — https://www.bidnetdirect.com/texas/cityofweslaco (all open/closed solicitations post here; registration required),"Homer Rhodes, Purchasing Agent",hrhodes@weslacotx.gov,(956) 968-3181,"255 S. Kansas Ave, Weslaco TX 78596. Secondary page: weslacotx.gov/departments/finance/purchasing.php. 'Commercial Package' #0000284347 listed on BidNet (likely insurance, not construction; status unverified — login required)."
City of Mercedes,city,Hidalgo,https://www.cityofmercedes.com/business-building-development/bids-and-contracts/,"Public Purchase — https://www.publicpurchase.com/gems/mercedes,tx/buyer/public/home (also posts RFP PDFs on city site)",Reynaldo Alegria (RFP questions/addenda); sealed proposals to City Manager Alberto Perez,ralegria@cityofmercedes.com,(956) 565-3114 ext. 701,"400 S. Ohio Ave, Mercedes TX 78570. Strong roofing target — re-bids roof work regularly: RFP 2024-009 Roof Repair Services; RFP 2025-004 Recreation Center Roof Replacement (10/2025); RFP 2025-005 City Hall Flooring (10/2025) — all closed. No 2026 RFPs indexed as of 7/15/2026; fetch blocked, verify live list."
City of Donna,city,Hidalgo,https://cityofdonna.org/bids.aspx,"CivicPlus bid postings on own site; also Public Purchase — https://www.publicpurchase.com/gems/donna,tx/buyer/public/home","City Secretary's office (all RFB communication); Joe A. Garcia, Director of Finance",citysecretary@cityofdonna.org,(956) 464-3314,"307 S. 12th St, Donna TX 78537. RFP archive: cityofdonna.org/government/request-for-proposals/. Recent CSP: Sports Memorial Park Phase 1 Construction (closed 6/17/2025). No open trade-matching bid confirmed 7/15/2026; fetch blocked."
City of Hidalgo,city,Hidalgo,https://cityofhidalgo.net/finance,None identified — posts RFPs/bids as PDFs on cityofhidalgo.net (e.g. E-rate RFP #0001-2024 under IT dept),No purchasing agent published; route through City Manager's Office (cityofhidalgo.net/city-managers-office/),,(956) 843-2286,"704 E. Ramon Ayala Dr, Hidalgo TX 78557. Smallest procurement footprint; not on CivCast/BidNet/IonWave per searches. Call City Hall to get on vendor list. Do not confuse with Hidalgo County."
City of Alton,city,Hidalgo,https://www.alton-tx.gov/business/bid_opportunities.php,None — posts on own site + Progress Times legal notices,"Rosie Tello, CPM, CGFO, Finance Director (bids submitted to City Manager's office)",rosie.tello@alton-tx.gov,(956) 432-0760,"509 S. Alton Blvd, Alton TX 78573. Planning Dept (construction bid docs): (956) 432-0730. Recent 2026 solicitations all closed by 7/8/2026: Lift Station No. 6 Force Main (2/11/26), Moorefield Public Works Complex Paving/Sewer/Drainage (6/25/26), Comprehensive Plan SOQ (7/8/26). Fetch blocked — verify manually."
City of Palmview,city,Hidalgo,https://cityofpalmview.gov/purchasing/,None — posts on own site + Progress Times legal notices,"Michael R. Leo, City Manager (bid submissions); Benito Garza, Finance Director",,(956) 432-0300,"400 W. Veterans Blvd, Palmview TX 78572. Past CSPs: Fire Station & EOC Building (closed 10/14/25), Goodwin Road Improvements 25-147-002-F335 (closed 5/15/26). 'RFP DRRP Packet' at cityofpalmview.gov/documents/request-for-proposals-drrp-packet/ (disaster recovery; status unverified). CDBG-DR Flood & Drainage Improvements in pipeline (GLO funds release requested 1/2026) — future construction bids likely."
City of Peñitas,city,Hidalgo,https://www.cityofpenitas.com/bids,Public Purchase — https://www.publicpurchase.com/gems/buyer/public/home?syndicatedOrgId=32449&region=TX,"Humberto 'Beto' Garza, City Manager (receives bids); bids page via City Secretary",,(956) 581-3345,"1111 S. Main St, Peñitas TX 78576. Also cityofpenitas.com/departments/CitySecretary/bids. No open 2026 solicitations found (last: Invitation to Bidders 11/2024). Fetch blocked — verify portal."
City of La Joya,city,Hidalgo,https://www.cityoflajoya.com/public-notice/,None — public notices on own site + Progress Times legal notices,"Vanessa Trevino, City Secretary (handles RFP distribution)",cityoflajoya@aol.com,(956) 581-7002,"701 E. Expressway 83, La Joya TX 78560. RFP packets picked up in person or by email from City Secretary. No open solicitations found 7/15/2026; past: RFQ Architectural Services, La Joya Fire Station (USDA)."
City of Sullivan City,city,Hidalgo,https://www.sullivancity.org/,None — no dedicated bids page found; posts via Progress Times legal notices and City Hall,"Aliza Salinas, City Secretary",citysecretary@sullivancity.org,(956) 485-2828,"500 Cenizo Dr / PO Box 249, Sullivan City TX 78595. No open solicitations found 7/15/2026; call City Secretary directly for bid opportunities."
City of Edcouch,city,Hidalgo,https://cityofedcouch.org/,None — no bids page indexed; posts via legal notices,"Marisela Aguilar, City Secretary (handling city manager duties)",infor@cityofedcouch.org,(956) 262-2140,"211 Southern Ave / PO Box 100, Edcouch TX 78538. No bids/procurement page indexed on site; no e-procurement registration found. Call to get on vendor list."
City of Elsa,city,Hidalgo,https://cityofelsa.net/,None — no bids page indexed on city site,"Juan Jose Ybarra, City Manager (TML alternately lists Frances S. Rocha — verify); Delmira Y. Olivarez, City Secretary",,(956) 262-2127,"102 S Diana St / PO Box 427, Elsa TX 78543. Correct domain cityofelsa.net (cityofelsatx.us defunct). City Manager dept: cityofelsa.net/departments/city-manager. No e-procurement platform found."
City of La Villa,city,Hidalgo,https://cityoflavilla.org/home/about/public-notices/,None — Public Notices page on own site,"Jorge Lopez, Jr., City Administrator",,(956) 262-2122,"916 S. Mike Chapa Dr, La Villa TX 78562. Public Notices is the only bid channel found; indexed content appeared dated — current postings unverified (fetch blocked)."
City of Progreso,city,Hidalgo,https://cityofprogreso.com/858-2/,None — dedicated Bid Opportunities page on own site,"Benjamin Arjona, Interim City Manager (as of 3/2026)",,(956) 565-0241,"300 FM 1015, Progreso TX 78579. Bid page runs IFB/RFP/RFQ/RFI; currently lists a Garbage/Trash Collection Services solicitation (not a construction trade; status unverified). Prior 2024 construction advertisement (closed). Best bid-monitoring target among the small Delta-area cities."
